sr_no,date,startup_name,industry_vertical,sub_vertical,city,investors_name,investment_type,amount_usd
1966,17-02-2016,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Bangalore,"Dr Nandish Domlur, Amit Sandill",Seed Funding,
1967,17-02-2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10000000
1968,17-02-2016,Avanti Learning,Education,Private Coaching Classes,Delhi,Michael & Susan Dell Foundation,Private Equity,5000000
1969,17-02-2016,Bollant Industries,Technology,Eco-friendly consumer & packaging products,Hyderabad,Ratan Tata,Private Equity,
1970,18-02-2016,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,Delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,
1971,18-02-2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,73000
1972,18-02-2016,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Gurgaon,"Sujal Shah, Dino Morea",Seed Funding,
1973,18-02-2016,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",Private Equity,
1974,18-02-2016,Careongo,E-Commerce,Online Pharmacy store,Delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,300000
1975,18-02-2016,Ark Robot,Technology,Warehouse Automation,Bangalore,Qualcomm (Through QPrize Contest),Seed Funding,350000
1976,19-02-2016,Jaypore,E-Commerce,Ethnic Products marketplace,Delhi,Aavishkaar,Private Equity,5000000
1977,19-02-2016,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Bangalore,Chennai Angels,Seed Funding,
1978,19-02-2016,AlmaConnect,Consumer Internet,Alumni social network,Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,
1979,19-02-2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed Funding,400000
1980,19-02-2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,Seed Funding,
1981,22-02-2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,1000000
